TITLE,NAME,GPIO OEN,GPIO Out,GPIO In,Always On JTAG,Always On Remote,Always On UART,UART PMIC,Always On I2C-Master,Always On I2C-Slave,Audio In,Audio OUT,FEC-A (in),FEC-B (in),FEC-C (in),FEC OUT,Encoder,PWM,VGHL/LED_BL,mLVDS,TCON,HDMI,LCD OUT,LCD IN,VGA,UART-A,UART-B,UART-C,SDIO-A,SDIO-B,SDIO-C,SDXC,I2C Master,I2C SLAVE,SPI,Ethernet,ITU601 In,ISO7816,PCM,NAND,NAND,Clock Out,WD GPIO,Production
PAD,GPIOY_6,0x201b bit[6],0x201c bit[6],0x201d bit[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMII_TX_DATA0 REG6[13],,,,,,,,
PAD,GPIOY_7,0x201b bit[7],0x201c bit[7],0x201d bit[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMII_RX_CLK REG6[12],,,,,,,,
PAD,GPIOY_8,0x201b bit[8],0x201c bit[8],0x201d bit[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMII_RX_DV REG6[11],,,,,,,,
PAD,GPIOY_9,0x201b bit[9],0x201c bit[9],0x201d bit[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMII_RX_DATA3 REG6[10],,,,,,,,
PAD,GPIOY_10,0x201b bit[10],0x201c bit[10],0x201d bit[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMII_RX_DATA2 REG6[9],,,,,,,,
PAD,GPIOY_11,0x201b bit[11],0x201c bit[11],0x201d bit[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMII_RX_DATA1 REG6[8],,,,,,,,
PAD,GPIOY_12,0x201b bit[12],0x201c bit[12],0x201d bit[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMII_RX_DATA0 REG6[7],,,,,,,,
PAD,GPIOY_13,0x201b bit[13],0x201c bit[13],0x201d bit[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMII_MDIO REG6[6],,,,,,,,
PAD,GPIOY_14,0x201b bit[14],0x201c bit[14],0x201d bit[14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMII_MDC REG6[5],,,,,,,,
PAD,GPIOY_15,0x201b bit[15],0x201c bit[15],0x201d bit[15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOX_0,0x2018 bit[0],0x2019 bit[0],0x201a bit[0],,,,,,,,,,,,,,,,,,,,,,,,,SD_D0_A REG8[5],,,SDXC_D0_A REG5[14],,,,,,,,,,,,
PAD,GPIOX_1,0x2018 bit[1],0x2019 bit[1],0x201a bit[1],,,,,,,,,,,,,,,,,,,,,,,,,SD_D1_A REG8[4],,,SDXC_D1_A REG5[13],,,,,,,,,,,,
PAD,GPIOX_2,0x2018 bit[2],0x2019 bit[2],0x201a bit[2],,,,,,,,,,,,,,,,,,,,,,,,,SD_D2_A REG8[3],,,SDXC_D2_A REG5[13],,,,,,,,,,,,
PAD,GPIOX_3,0x2018 bit[3],0x2019 bit[3],0x201a bit[3],,,,,,,,,,,,,,,,,,,,,,,,,SD_D3_A REG8[2],,,SDXC_D3_A REG5[13],,,,,,,,,,,,
PAD,GPIOX_4,0x2018 bit[4],0x2019 bit[4],0x201a bit[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,SDXC_D4_A REG5[12],,,,,,,PCM_OUT REG3[30],,,,,
PAD,GPIOX_5,0x2018 bit[5],0x2019 bit[5],0x201a bit[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,SDXC_D5_A REG5[12],,,,,,,PCM_IN REG3[29],,,,,
PAD,GPIOX_6,0x2018 bit[6],0x2019 bit[6],0x201a bit[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,SDXC_D6_A REG5[12],,,,,,,PCM_FS REG3[28],,,,,
PAD,GPIOX_7,0x2018 bit[7],0x2019 bit[7],0x201a bit[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,SDXC_D7_A REG5[12],,,,,,,PCM_CLK REG3[27],,,,,
PAD,GPIOX_8,0x2018 bit[8],0x2019 bit[8],0x201a bit[8],,,,,,,,,,,,,,,,,,,,,,,,,SD_CLK_A REG8[1],,,SDXC_CLK_A REG5[11],,,,,,,,,,,,
PAD,GPIOX_9,0x2018 bit[9],0x2019 bit[9],0x201a bit[9],,,,,,,,,,,,,,,,,,,,,,,,,SD_CMD_A REG8[0],,,SDXC_CMD_A REG5[10],,,,,,,,,,,,
PAD,GPIOX_10,0x2018 bit[10],0x2019 bit[10],0x201a bit[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOX_11,0x2018 bit[11],0x2019 bit[11],0x201a bit[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOX_12,0x2018 bit[12],0x2019 bit[12],0x201a bit[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLK_OUT REG3[21],,
PAD,GPIOX_13,0x2018 bit[13],0x2019 bit[13],0x201a bit[13],,,,,,,,,,,,,,,,,,,,,,UART_TX_A REG4[13],,,,,,,,,,,,,,,,,,
PAD,GPIOX_14,0x2018 bit[14],0x2019 bit[14],0x201a bit[14],,,,,,,,,,,,,,,,,,,,,,UART_RX_A REG4[12],,,,,,,,,,,,,,,,,,
PAD,GPIOX_15,0x2018 bit[15],0x2019 bit[15],0x201a bit[15],,,,,,,,,,,,,,,,,,,,,,UART_CTS_A REG4[11],,,,,,,,,,,,,,,,,,
PAD,GPIOX_16,0x2018 bit[16],0x2019 bit[16],0x201a bit[16],,,,,,,,,,,,,,,,,,,,,,UART_RTS_A REG4[10],,,,,,,,,,,,,,,,,,
PAD,GPIOX_17,0x2018 bit[17],0x2019 bit[17],0x201a bit[17],,,,,,,,I2S_OUT_MCLK REG8[27],,,,,,,,,,,,,,,UART_TX_B REG4[9],,,,,,,,,,,ISO7816_DET REG4[21],PCM_CLK REG4[25],,,,,
PAD,GPIOX_18,0x2018 bit[18],0x2019 bit[18],0x201a bit[18],,,,,,,I2S_IN_BLCK REG8[30],I2S_OUT_BCLK REG8[26],,,,,,,,,,,,,,,UART_RX_B REG4[8],,,,,,,,,,,ISO7816_RESET REG4[20],PCM_FS REG4[24],,,,,
PAD,GPIOX_19,0x2018 bit[19],0x2019 bit[19],0x201a bit[19],,,,,,,I2S_IN_LR_CLK REG8[29],I2S_OUT_LR_CLK REG8[25],,,,,,,,,,,,,,,UART_CTS_B REG4[7],,,,,,,,,,,ISO7816_CLK REG4[19],PCM_OUT REG4[23],,,,,
PAD,GPIOX_20,0x2018 bit[20],0x2019 bit[20],0x201a bit[20],,,,,,,I2S_IN_CH0 REG8[28],I2S_OUT_CH0 REG8[24],,,,,,,,,,,,,,,UART_RTS_B REG4[6],,,,,,,,,,,ISO7816_DATA REG4[18],PCM_IN REG4[22],,,,,
PAD,GPIOX_21,0x2018 bit[21],0x2019 bit[21],0x201a bit[21],,,,,,,,,,,,,,,,,,,,,,,,UART_TX_C REG4[3],,,,,,,,,,ISO7816_DET REG4[17],,,,,,
PAD,GPIOX_22,0x2018 bit[22],0x2019 bit[22],0x201a bit[22],,,,,,,,,,,,,,,,,,,,,,,,UART_RX_C REG4[2],,,,,,,,,,ISO7816_RESET REG4[16],,,,,,
PAD,GPIOX_23,0x2018 bit[23],0x2019 bit[23],0x201a bit[23],,,,,,,,,,,,,,,,,,,,,,,UART_TX_B REG4[5],UART_CTS_C REG4[1],,,,,,,,,,ISO7816_CLK REG4[15],,,,,,
PAD,GPIOX_24,0x2018 bit[24],0x2019 bit[24],0x201a bit[24],,,,,,,,,,,,,,,,,,,,,,,UART_RX_B REG4[4],UART_RTS_C REG4[0],,,,,,,,,,ISO7816_DATA REG4[14],,,,,,
PAD,GPIOX_25,0x2018 bit[25],0x2019 bit[25],0x201a bit[25],,,,,,,,,,,,,,,,,,,,,,,,,,,,,I2C_SDA REG5[27],I2C_SDA REG5[25],,,,,,,,,,
PAD,GPIOX_26,0x2018 bit[26],0x2019 bit[26],0x201a bit[26],,,,,,,,,,,,,,,,,,,,,,,,,,,,,I2C_SCK REG5[26],I2C_SCK REG5[24],,,,,,,,,,
PAD,GPIOX_27,0x2018 bit[27],0x2019 bit[27],0x201a bit[27],,,,,,,,,,,,,,,,,,,,,,,,,,,,,I2C_SDA REG5[31],I2C_SDA REG5[29],,,,,,,,,,
PAD,GPIOX_28,0x2018 bit[28],0x2019 bit[28],0x201a bit[28],,,,,,,,,,,,,,,,,,,,,,,,,,,,,I2C_SCK REG5[30],I2C_SCK REG5[28],,,,,,,,,,
PAD,GPIOX_29,0x2018 bit[29],0x2019 bit[29],0x201a bit[29],,,,,,,,,,,,,,,,,,,,,,,,,,,,,I2C_SDA REG8[22],I2C_SDA REG8[20],SPI_SS2 REG8[18],,,,,,,,,
PAD,GPIOX_30,0x2018 bit[30],0x2019 bit[30],0x201a bit[30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,I2C_SCK REG8[21],I2C_SCK REG8[19],SPI_RDYn REG8[17],,,,,,,,,
PAD,GPIOX_31,0x2018 bit[31],0x2019 bit[31],0x201a bit[31],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPI_SS0 REG8[16],,,,,,,,,
PAD,GPIOX_32,0x2015 bit[20],0x2016 bit[20],0x2017 bit[20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPI_SS1 REG8[15],,,,,,,,,
PAD,GPIOX_33,0x2015 bit[21],0x2016 bit[21],0x2017 bit[21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPI_SCLK REG8[14],,,,,,,,,
PAD,GPIOX_34,0x2015 bit[22],0x2016 bit[22],0x2017 bit[22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPI_MOSI REG8[13],,,,,,,,,
PAD,GPIOX_35,0x2015 bit[23],0x2016 bit[23],0x2017 bit[23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPI_MISO REG8[12],,,,,,,,,
PAD,BOOT_0,0x2015 bit[0],0x2016 bit[0],0x2017 bit[0],,,,,,,,,,,,,,,,,,,,,,,,,,,SD_D0_C REG6[29],SDXC_D0_C REG4[30],,,,,,,,NAND_IO_0 REG2[26],,,,I2C_SDA REG3[31]
PAD,BOOT_1,0x2015 bit[1],0x2016 bit[1],0x2017 bit[1],,,,,,,,,,,,,,,,,,,,,,,,,,,SD_D1_C REG6[28],SDXC_D1_C REG4[29],,,,,,,,NAND_IO_1 REG2[26],,,,I2C_SCL REG3[31]
PAD,BOOT_2,0x2015 bit[2],0x2016 bit[2],0x2017 bit[2],,,,,,,,,,,,,,,,,,,,,,,,,,,SD_D2_C REG6[27],SDXC_D2_C REG4[29],,,,,,,,NAND_IO_2 REG2[26],,,,
PAD,BOOT_3,0x2015 bit[3],0x2016 bit[3],0x2017 bit[3],,,,,,,,,,,,,,,,,,,,,,,,,,,SD_D3_C REG6[26],SDXC_D3_C REG4[29],,,,,,,,NAND_IO_3 REG2[26],,,,
PAD,BOOT_4,0x2015 bit[4],0x2016 bit[4],0x2017 bit[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,SDXC_D4_C REG4[28],,,,,,,,NAND_IO_4 REG2[26],,,,
PAD,BOOT_5,0x2015 bit[5],0x2016 bit[5],0x2017 bit[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,SDXC_D5_C REG4[28],,,,,,,,NAND_IO_5 REG2[26],,,,
PAD,BOOT_6,0x2015 bit[6],0x2016 bit[6],0x2017 bit[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,SDXC_D6_C REG4[28],,,,,,,,NAND_IO_6 REG2[26],,,,
PAD,BOOT_7,0x2015 bit[7],0x2016 bit[7],0x2017 bit[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,SDXC_D7_C REG4[28],,,,,,,,NAND_IO_7 REG2[26],,,,
PAD,BOOT_8,0x2015 bit[8],0x2016 bit[8],0x2017 bit[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAND_CE0 REG2[25],,,,
PAD,BOOT_9,0x2015 bit[9],0x2016 bit[9],0x2017 bit[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAND_CE1 REG2[24],,,,
PAD,BOOT_10,0x2015 bit[10],0x2016 bit[10],0x2017 bit[10],,,,,,,,,,,,,,,,,,,,,,,,,,,SD_CMD_C REG6[25],SDXC_CMD_C REG4[27],,,,,,,,NAND_CE2 REG2[23],NAND_RB0 REG2[17],,,
PAD,BOOT_11,0x2015 bit[11],0x2016 bit[11],0x2017 bit[11],,,,,,,,,,,,,,,,,,,,,,,,,,,SD_CLK_C REG6[24],SDXC_CLK_C REG4[26],,,,,,,,NAND_CE3 REG2[22],NAND_RB1 REG2[16],,,
PAD,BOOT_12,0x2015 bit[12],0x2016 bit[12],0x2017 bit[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPI_NOR_D_A enable=REG5[1],,,,,NAND_ALE REG2[21],,,,
PAD,BOOT_13,0x2015 bit[13],0x2016 bit[13],0x2017 bit[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPI_NOR_Q_A nable=REG5[3],,,,,NAND_CLE REG2[20],,,,
PAD,BOOT_14,0x2015 bit[14],0x2016 bit[14],0x2017 bit[14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPI_NOR_C_A enable=REG5[2],,,,,NAND_WEn_CLK REG2[19],,,,
PAD,BOOT_15,0x2015 bit[15],0x2016 bit[15],0x2017 bit[15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAND_REn_WR REG2[18],,,,
PAD,BOOT_16,0x2015 bit[16],0x2016 bit[16],0x2017 bit[16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAND_DQS REG2[27],,,,
PAD,BOOT_17,0x2015 bit[17],0x2016 bit[17],0x2017 bit[17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPI_NOR_CS_n_A enable=REG5[0],,,,,,,,,
PAD,GPIOD_0,0x2012 bit[16],0x2013 bit[16],0x2014 bit[16],,,,,,,,,,,,,,PWM_C REG2[2],LCD_VGHL_PWM REG1[29],,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOD_1,0x2012 bit[17],0x2013 bit[17],0x2014 bit[17],,,,,,,,,,,,,,PWM_D REG2[3],LED_BL_PWM REG1[28],,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOD_2,0x2012 bit[18],0x2013 bit[18],0x2014 bit[18],,,,,,,,,,,,,,,,TCON_0_B REG0[22],TCON_STH1_B REG1[19],,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOD_3,0x2012 bit[19],0x2013 bit[19],0x2014 bit[19],,,,,,,,,,,,,,,,TCON_1_B REG0[23],TCON_STV1_B REG1[18],,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOD_4,0x2012 bit[20],0x2013 bit[20],0x2014 bit[20],,,,,,,,,,,,,,,,TCON_2_B REG0[24],TCON_OEH_B REG1[17],,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOD_5,0x2012 bit[21],0x2013 bit[21],0x2014 bit[21],,,,,,,,,,,,,,,,TCON_3_B REG0[25],TCON_CPV1_B REG1[16],,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOD_6,0x2012 bit[22],0x2013 bit[22],0x2014 bit[22],,,,,,,,,,,,,,,,TCON_4_B REG0[26],TCON_OEV1_B REG1[15],,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOD_7,0x2012 bit[23],0x2013 bit[23],0x2014 bit[23],,,,,,,,,,,,,,,,TCON_5_B REG0[27],TCON_CPH50_B REG1[11] TCON_CPH1 REG1[14] TCON_CPH2 REG1[13] TCON_CPH3 REG1[12],,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOD_8,0x2012 bit[24],0x2013 bit[24],0x2014 bit[24],,,,,,,,,,,,,,,,TCON_6_B REG0[28],TCON_VCOM_B REG1[20],,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOD_9,0x2012 bit[25],0x2013 bit[25],0x2014 bit[25],,,,,,,,,,,,,ENC_16 REG7[16],PWM_A REG3[26],,TCON_7_B REG0[29],,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOC_0,0x2012 bit[0],0x2013 bit[0],0x2014 bit[0],,,,,,,,,,,,,,PWM_A REG2[0],LCD_VGHL_PWM REG1[27],,,,,,VGA_HS REG0[21],,,,,,,,,,,,,,,,,,,
PAD,GPIOC_1,0x2012 bit[1],0x2013 bit[1],0x2014 bit[1],,,,,,,,,,,,,,PWM_B REG2[1],LED_BL_PWM REG1[26],,,,,,VGA_VS REG0[20],,,,,,,,,,,,,,,,,,,
PAD,GPIOC_2,0x2012 bit[2],0x2013 bit[2],0x2014 bit[2],,,,,,,,,,,,,,,,TCON_0_A REG0[12],TCON_STH1 REG1[9],,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOC_3,0x2012 bit[3],0x2013 bit[3],0x2014 bit[3],,,,,,,,,,,,,,,,TCON_1_A REG0[13],TCON_STV1 REG1[8],,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOC_4,0x2012 bit[4],0x2013 bit[4],0x2014 bit[4],,,,,,,,,,,,,,,,TCON_2_A REG0[14],TCON_OEH REG1[7],,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOC_5,0x2012 bit[5],0x2013 bit[5],0x2014 bit[5],,,,,,,,,,,,,,,,TCON_3_A REG0[15],TCON_CPV1 REG1[6],,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOC_6,0x2012 bit[6],0x2013 bit[6],0x2014 bit[6],,,,,,,,,,,,,,,,TCON_4_A REG0[16],TCON_OEV1 REG1[5],,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOC_7,0x2012 bit[7],0x2013 bit[7],0x2014 bit[7],,,,,,,,,,,,,,,,TCON_5_A REG0[17],TCON_CPH50 REG1[11] TCON_CPH1 REG1[4] TCON_CPH2 REG1[3] TCON_CPH3 REG1[2],,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOC_8,0x2012 bit[8],0x2013 bit[8],0x2014 bit[8],,,,,,,SPDIF_in REG3[23],,,,,,,,,TCON_6_A REG0[18],TCON_VCOM REG1[10],,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOC_9,0x2012 bit[9],0x2013 bit[9],0x2014 bit[9],,,,,,,,SPDIF_out REG3[24],,,,,ENC_17 REG7[17],PWM_C REG3[25],,TCON_7_A REG0[19],,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOC_10,0x2012 bit[10],0x2013 bit[10],0x2014 bit[10],,,,,,,,,,,,,,,,,,HDMI_HPD_5V REG1[22],,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOC_11,0x2012 bit[11],0x2013 bit[11],0x2014 bit[11],,,,,,,,,,,,,,,,,,HDMI_SDA_5V REG1[23],,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOC_12,0x2012 bit[12],0x2013 bit[12],0x2014 bit[12],,,,,,,,,,,,,,,,,,HDMI_SCL_5V REG1[24],,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOC_13,0x2012 bit[13],0x2013 bit[13],0x2014 bit[13],,,,,,,,,,,,,,,,,,HDMI_CEC REG1[25],,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOC_14,0x2014 bit[14],0x2013 bit[14],0x2014 bit[14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOC_15,0x2012 bit[15],0x2015 bit[15],0x2014 bit[15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLK_OUT REG3[22],,
